merchant_id,business_type,category,name_mismatch_details,action,decision_reason,action_detail,estimated_monthly_gmv,verification_result,processed_at
mer_0055,education,name_mismatch,PAN ('Ashoka Electronics Private Limited') vs GST ('Ashoka') -- similarity 0.50; GST ('Ashoka') vs Bank ('Ashoka Electronics Private Limited') -- similarity 0.50,send_name_fix_instructions,category=name_mismatch,"FIX MESSAGE: Please update your GST document so the business name matches your PAN card. Standardize all your accounts to use ""Ashoka Electronics Private Limited.""",1091541.08,resolved,2026-09-01 00:14:03
mer_0056,e-commerce,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",557304.81,n/a,2026-09-01 00:14:03
mer_0057,e-commerce,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",967098.33,n/a,2026-09-01 00:14:03
mer_0058,retail,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1686496.25,n/a,2026-09-01 00:14:03
mer_0059,food_delivery,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1545451.29,n/a,2026-09-01 00:14:03
mer_0060,education,name_mismatch,PAN ('Bluepeak Retail Private Limited') vs GST ('Bluepeak') -- similarity 0.70; GST ('Bluepeak') vs Bank ('Bluepeak Retail Private Limited') -- similarity 0.70,send_name_fix_instructions,category=name_mismatch,"FIX MESSAGE: Please update your GST document to match the official name on your PAN card. Standardize your business name across all documents to ""Bluepeak Retail Private Limited"".",100072.93,resolved,2026-09-01 00:14:22
mer_0061,e-commerce,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1409526.35,n/a,2026-09-01 00:14:22
mer_0062,education,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1312709.35,n/a,2026-09-01 00:14:22
mer_0063,logistics,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1429251.86,n/a,2026-09-01 00:14:22
mer_0064,logistics,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",899370.26,n/a,2026-09-01 00:14:22
mer_0065,electronics,name_mismatch,PAN ('Bluepeak Retail LLP') vs GST ('Bluepeak') -- similarity 0.70; GST ('Bluepeak') vs Bank ('Bluepeak Retail LLP') -- similarity 0.70,send_name_fix_instructions,category=name_mismatch,"[fix message generation failed, logging only: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-3.6-flash\nPlease retry in 36.86280193s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-3.6-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '36s'}]}}]",956181.51,fix_message_generation_failed,2026-09-01 00:14:36
mer_0066,food_delivery,missing_international_enablement,,suggest_enable_international,category=missing_international_enablement,SIMULATED: flagged merchant as eligible for international module,1766623.96,n/a,2026-09-01 00:14:36
mer_0067,electronics,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",518631.68,n/a,2026-09-01 00:14:36
mer_0068,wellness,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1184033.39,n/a,2026-09-01 00:14:36
mer_0069,food_delivery,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",499549.18,n/a,2026-09-01 00:14:36
mer_0070,education,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1954383.69,n/a,2026-09-01 00:14:36
mer_0071,e-commerce,category_risk_flag,,escalate_manual_review,high-risk category always requires a human,SIMULATED: created manual review task for compliance team,1949875.12,n/a,2026-09-01 00:14:36
mer_0072,logistics,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",983492.71,n/a,2026-09-01 00:14:36
mer_0073,retail,document_quality_issue,,request_document_reupload,category=document_quality_issue,SIMULATED: sent document re-upload request,1631727.05,n/a,2026-09-01 00:14:36
mer_0074,education,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",791737.15,n/a,2026-09-01 00:14:36
mer_0075,electronics,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",455186.42,n/a,2026-09-01 00:14:36
mer_0076,logistics,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1394273.71,n/a,2026-09-01 00:14:36
mer_0077,retail,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1851626.54,n/a,2026-09-01 00:14:36
mer_0078,electronics,category_risk_flag,,escalate_manual_review,high-risk category always requires a human,SIMULATED: created manual review task for compliance team,327360.76,n/a,2026-09-01 00:14:36
mer_0079,logistics,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1888218.67,n/a,2026-09-01 00:14:36
mer_0080,education,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",538217.41,n/a,2026-09-01 00:14:36
